Bx By Bz 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0516402105e-05 
7.8000000000e-04 0.0000000000e+00 0.0000000000e+00 4.1219243439e-05 
1.5600000000e-03 0.0000000000e+00 0.0000000000e+00 4.1933381381e-05 
2.3400000000e-03 0.0000000000e+00 0.0000000000e+00 4.2659203815e-05 
3.1200000000e-03 0.0000000000e+00 0.0000000000e+00 4.3398470829e-05 
3.9000000000e-03 0.0000000000e+00 0.0000000000e+00 4.4160104737e-05 
4.6800000000e-03 0.0000000000e+00 0.0000000000e+00 4.4929958929e-05 
5.4600000000e-03 0.0000000000e+00 0.0000000000e+00 4.5724236779e-05 
6.2400000000e-03 0.0000000000e+00 0.0000000000e+00 4.6538466584e-05 
7.0200000000e-03 0.0000000000e+00 0.0000000000e+00 4.7361892322e-05 
7.8000000000e-03 0.0000000000e+00 0.0000000000e+00 4.8209646887e-05 
8.5800000000e-03 0.0000000000e+00 0.0000000000e+00 4.9078904402e-05 
9.3600000000e-03 0.0000000000e+00 0.0000000000e+00 4.9962398187e-05 
1.0140000000e-02 0.0000000000e+00 0.0000000000e+00 5.0861406924e-05 
1.0920000000e-02 0.0000000000e+00 0.0000000000e+00 5.1794960039e-05 
1.1700000000e-02 0.0000000000e+00 0.0000000000e+00 5.2744580459e-05 
1.2480000000e-02 0.0000000000e+00 0.0000000000e+00 5.3714929311e-05 
1.3260000000e-02 0.0000000000e+00 0.0000000000e+00 5.4708615180e-05 
1.4040000000e-02 0.0000000000e+00 0.0000000000e+00 5.5726046030e-05 
1.4820000000e-02 0.0000000000e+00 0.0000000000e+00 5.6756170888e-05 
1.5600000000e-02 0.0000000000e+00 0.0000000000e+00 5.7828185653e-05 
1.6380000000e-02 0.0000000000e+00 0.0000000000e+00 5.8928563628e-05 
1.7160000000e-02 0.0000000000e+00 0.0000000000e+00 6.0050651627e-05 
1.7940000000e-02 0.0000000000e+00 0.0000000000e+00 6.1192433943e-05 
1.8720000000e-02 0.0000000000e+00 0.0000000000e+00 6.2376963215e-05 
1.9500000000e-02 0.0000000000e+00 0.0000000000e+00 6.3575836186e-05 
2.0280000000e-02 0.0000000000e+00 0.0000000000e+00 6.4804434710e-05 
2.1060000000e-02 0.0000000000e+00 0.0000000000e+00 6.6078140641e-05 
2.1840000000e-02 0.0000000000e+00 0.0000000000e+00 6.7385536754e-05 
2.2620000000e-02 0.0000000000e+00 0.0000000000e+00 6.8718757251e-05 
2.3400000000e-02 0.0000000000e+00 0.0000000000e+00 7.0087093967e-05 
2.4180000000e-02 0.0000000000e+00 0.0000000000e+00 7.1492587328e-05 
2.4960000000e-02 0.0000000000e+00 0.0000000000e+00 7.2931838607e-05 
2.5740000000e-02 0.0000000000e+00 0.0000000000e+00 7.4415024257e-05 
2.6520000000e-02 0.0000000000e+00 0.0000000000e+00 7.5932647095e-05 
2.7300000000e-02 0.0000000000e+00 0.0000000000e+00 7.7494499257e-05 
2.8080000000e-02 0.0000000000e+00 0.0000000000e+00 7.9106812773e-05 
2.8860000000e-02 0.0000000000e+00 0.0000000000e+00 8.0765889091e-05 
2.9640000000e-02 0.0000000000e+00 0.0000000000e+00 8.2449736664e-05 
3.0420000000e-02 0.0000000000e+00 0.0000000000e+00 8.4198340091e-05 
3.1200000000e-02 0.0000000000e+00 0.0000000000e+00 8.6006297179e-05 
3.1980000000e-02 0.0000000000e+00 0.0000000000e+00 8.7838884700e-05 
3.2760000000e-02 0.0000000000e+00 0.0000000000e+00 8.9743467482e-05 
3.3540000000e-02 0.0000000000e+00 0.0000000000e+00 9.1699331473e-05 
3.4320000000e-02 0.0000000000e+00 0.0000000000e+00 9.3711641905e-05 
3.5100000000e-02 0.0000000000e+00 0.0000000000e+00 9.5783259413e-05 
3.5880000000e-02 0.0000000000e+00 0.0000000000e+00 9.7920958398e-05 
